green_waste_wh,green_used_wh,brown_used_wh,total_energy_wh,green_ratio,total_carbon_kg,carbon_intensity,total_cloudlets,remaining_cloudlets,routed_cloudlets,deadline_forced_count,ontime_mi_share,total_finished_cloudlets,total_created_cloudlets,waste_ratio,routed_cloudlets_count,routed_rate,completion_rate,completion_rate_mi,carbon_per_completion_mi,completion_time_dc_0,finished_dc_0,received_dc_0,green_ratio_dc_0,completion_time_dc_1,finished_dc_1,received_dc_1,green_ratio_dc_1,completion_time_dc_2,finished_dc_2,received_dc_2,green_ratio_dc_2,completion_time_dc_3,finished_dc_3,received_dc_3,green_ratio_dc_3,completion_time_dc_4,finished_dc_4,received_dc_4,green_ratio_dc_4,mean_completion_time,total_received_cloudlets,sum_finished_dc,finished_rate,carbon_per_finished_cloudlet,episode,episode_length,global_decision_us_mean,global_decision_us_p50,global_decision_us_p95,global_decision_us_p99,global_decision_count,local_decision_us_mean,local_decision_us_p50,local_decision_us_p95,local_decision_us_p99,local_decision_count,episode_wall_s,peak_cpu_rss_mb,peak_gpu_mem_mb
1246.79614045667,609.488268565851,612.5942161563819,1222.082484722233,0.49872923978971967,0.18395167849593685,0.15052312818127594,8000,0,0,0,1.0,8000,8000,0.6716622379612647,8000,1.0,1.0,1.0,0.18395167849593685,3782.7129662406833,2817,2817,0.49774341695555463,3389.977828456731,3363,3363,0.5093235367027,3102.8058675824154,1820,1820,0.47707805443068785,0.0,0,0,0.0,0.0,0,0,0.0,3462.9380677499985,8000,8000,1.0,2.2993959811992107e-05,1,7078,1155.1366623339927,1088.9675000000002,1617.0399499999976,1923.0451999999998,7078,456.1210064142413,445.151,495.145,600.0552100000001,35390,669.707672138,1315.7265625,0.0
1288.1951271502776,601.670310566681,611.1890051451312,1212.859315711812,0.49607592799299083,0.18471339638012574,0.15229581369189527,8000,0,0,0,1.0,8000,8000,0.681633253585755,8000,1.0,1.0,1.0,0.18471339638012574,3727.658863288372,2743,2743,0.49534681579635365,3376.7629536172954,3504,3504,0.5044859780249351,3115.447218325724,1753,1753,0.47812460043119165,0.0,0,0,0.0,0.0,0,0,0.0,3439.81557815,8000,8000,1.0,2.308917454751572e-05,2,7162,1154.138747277297,1085.9015,1619.0786499999995,1929.1256800000003,7162,456.37674481988273,445.091,499.0794999999999,600.7741,35810,676.900993698,1315.7265625,0.0
1283.8836788636147,608.3892940385317,609.4562008399456,1217.8454948784774,0.49956196955775556,0.18663609348779683,0.15325104397288122,8000,0,0,0,1.0,7996,8000,0.6784875635012344,8000,1.0,1.0,0.9996253698188633,0.18670603920508355,3925.4525413312617,2584,2584,0.49981048712329346,3446.581044190763,3701,3705,0.5084610802579973,3176.508264341149,1711,1711,0.47703905800789315,0.0,0,0,0.0,0.0,0,0,0.0,3543.5432030562406,8000,7996,0.9995,2.334118227711316e-05,3,7200,1160.0610252777776,1087.279,1642.3795499999999,1924.3191000000002,7200,455.8967603333333,444.56,500.03549999999996,598.7721,36000,681.202549988,1315.7265625,0.0
1292.8648705377786,599.4081023643673,606.3181358300845,1205.726238194452,0.4971344932013485,0.1871331342853303,0.1552036675966826,8000,0,0,0,1.0,7996,8000,0.6832338087854917,8000,1.0,1.0,0.9996626272202005,0.18719628921779186,3865.0807593628583,2574,2574,0.4992970888118293,3348.0454943248546,3577,3581,0.5062750680117654,3139.372256851314,1845,1845,0.47259147252929173,0.0,0,0,0.0,0.0,0,0,0.0,3466.3354704465573,8000,7996,0.9995,2.3403343457394984e-05,4,7200,1159.1354711111112,1086.0104999999999,1734.7916499999915,1956.6759000000013,7200,456.1595470555556,444.7795,500.16554999999903,598.4306,36000,680.972141528,1315.7265625,0.0
1286.1176836021762,606.1552892999678,605.7836974187873,1211.9389867187551,0.5001533046981954,0.18324992716710836,0.15120392129907914,8000,0,0,0,1.0,7998,8000,0.6796681567721603,8000,1.0,1.0,0.9997675622531557,0.18329253127009018,3951.7699188574707,2617,2617,0.5020114228464944,3477.6123861899714,3769,3771,0.5070896948974758,3178.7465598945414,1612,1612,0.47851701040916905,0.0,0,0,0.0,0.0,0,0,0.0,3572.523432826957,8000,7998,0.99975,2.291196888811057e-05,5,7200,1169.6118074999997,1085.105,1637.4700499999922,1919.9033100000001,7200,455.6053390555556,444.49,497.2399999999999,598.5711900000001,36000,681.048594126,1315.7265625,0.0
