step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
10,0,1259.913330078125,347.913330078125,367.05999755859375,0.0,0.0,0.0,161.8125,0.0,136.796875,0.0,0.0,1.0,0.0,0.0,0.0,5.064518451690674,2.4778072834014893,0.9029185175895691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0,0.0234375,0.0,0,128,0,0,0
11,0,1308.193359375,172.48666381835938,428.5199890136719,0.0,0.0,0.0,161.8125,0.0,136.796875,0.0,0.0,1.0,0.0,0.0,0.0,5.427905559539795,2.4807722568511963,1.0219517946243286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0,0.0234375,0.0,0,128,0,0,0
12,0,1480.5333251953125,129.31333923339844,442.2866516113281,0.0,0.0,0.0,212.1875,0.0,136.796875,0.0,0.0,0.8608764410018921,0.0,0.0,0.0,5.839164733886719,2.4807722568511963,1.1448092460632324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01328125037252903,0.0,0.0234375,0.0,0,0,0,128,0
13,0,1673.78662109375,236.07333374023438,498.8933410644531,0.0,0.0,0.0,216.9375,0.0,136.796875,0.0,0.0,0.8980166912078857,0.0,0.0,0.0,6.304105758666992,2.4860877990722656,1.283390760421753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.0234375,0.0,0,0,0,128,0
14,0,1623.1466064453125,462.3399963378906,487.82666015625,0.0,0.0,0.0,216.9375,0.0,155.79531860351562,0.0,0.0,0.9195054769515991,0.0,0.0,0.0,6.754979610443115,2.5542550086975098,1.418898105621338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.03515625,0.0,0,0,0,128,0
15,0,1916.0400390625,796.0466918945312,501.7348327636719,0.0,0.0,0.0,216.9375,0.0,167.1943817138672,0.0,0.0,0.9335145354270935,0.0,0.0,0.0,7.28721284866333,2.715118646621704,1.5582689046859741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.04218750074505806,0.0,0,0,0,128,0
16,0,1912.873291015625,642.239990234375,515.6429443359375,0.0,0.0,0.0,216.9375,0.0,178.59344482421875,0.0,0.0,0.9433702230453491,0.0,0.0,0.0,7.818566799163818,2.8332583904266357,1.701503038406372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.04921875149011612,0.0,0,0,0,128,0
17,0,1873.4932861328125,703.2533569335938,529.5510864257812,0.0,0.0,0.0,216.9375,0.0,178.59344482421875,0.0,0.0,0.9506811499595642,0.0,0.0,0.0,8.338981628417969,2.968346118927002,1.8486006259918213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.04921875149011612,0.0,0,0,0,128,0
18,0,1791.63330078125,881.1599731445312,543.4592895507812,0.0,0.0,0.0,216.9375,0.0,182.39312744140625,0.0,0.0,0.9563202261924744,0.0,0.0,0.0,8.836657524108887,3.1528522968292236,1.9995615482330322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.05156249925494194,0.0,0,0,0,128,0
19,0,1777.306640625,792.9733276367188,557.3673706054688,0.0,0.0,0.0,216.9375,0.0,182.39312744140625,0.0,0.0,0.9608020782470703,0.0,0.0,0.0,9.330353736877441,3.3128621578216553,2.154385805130005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.05156249925494194,0.0,0,0,0,128,0
20,0,1684.473388671875,559.0933227539062,571.2755126953125,0.0,0.0,0.0,216.9375,0.0,182.39312744140625,0.0,0.0,0.9644498229026794,0.0,0.0,0.0,9.798262596130371,3.4079055786132812,2.3130733966827393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.05156249925494194,0.0,0,0,0,128,0
