step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.19125366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562499701976776,0.0,0,0,0,128,0
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.19125366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562499701976776,0.0,0,0,0,128,0
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.25750732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06875000149011612,0.0,0,0,0,128,0
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.59031677246094,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07265625149011612,0.0,0,0,0,128,0
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.18968200683594,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07734374701976776,0.0,0,0,0,128,0
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.5225067138672,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08124999701976776,0.0,0,0,0,128,0
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.1218719482422,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859375,0.0,0,0,0,128,0
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.18812561035156,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08906249701976776,0.0,0,0,0,126,2
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.92156982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08828125149011612,0.0,0,0,0,125,3
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.78750610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0,0,0,120,8
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.58718872070312,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09609375149011612,0.0,0,0,0,117,11
30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.05406188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.09453125298023224,0.0,0,0,0,117,11
31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.05406188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.09453125298023224,0.0,0,0,0,119,9
32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.05406188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.09453125298023224,0.0,0,0,0,119,9
33,0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,250.78750610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.010416666977107525,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.09375,0.0,0,0,0,119,9
34,0,0.0,0.0,54.37333297729492,0.0,0.0,0.0,0.0,0.0,248.25437927246094,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.02552037127315998,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.09218750149011612,0.0,0,0,0,120,8
35,0,0.0,0.0,35.06666564941406,0.0,0.0,0.0,0.0,0.0,272.3190612792969,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.035261109471321106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10703124850988388,0.0,0,0,0,103,25
36,0,0.0,0.0,30.3266658782959,0.0,0.0,0.0,0.0,0.0,273.58563232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0436851866543293,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.10781250149011612,0.0,0,0,0,102,26
37,0,0.0,0.0,23.68000030517578,0.0,0.0,0.0,0.0,0.0,268.5193786621094,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.05026296153664589,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.10468749701976776,0.0,0,0,0,102,26
38,0,0.0,0.0,30.459999084472656,0.0,0.0,0.0,0.0,0.0,277.38531494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.05872407555580139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11015625298023224,0.0,0,0,0,99,29
39,0,0.0,0.0,37.79999923706055,0.0,0.0,0.0,0.0,0.0,279.9184265136719,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.06922407448291779,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.11171875149011612,0.0,0,0,0,99,29
40,0,0.0,0.0,30.959999084472656,0.0,0.0,0.0,0.0,0.0,279.9184265136719,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.07782407104969025,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.11171875149011612,0.0,0,0,0,99,29
41,0,0.0,0.0,8.126667022705078,0.0,0.0,0.0,0.0,0.0,279.9184265136719,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.11171875149011612,0.0,0,0,0,97,31
42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.38531494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.11015625298023224,0.0,0,0,0,97,31
43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.8521728515625,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.10859374701976776,0.0,0,0,0,99,29
