step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
15,0,1781.3800048828125,1391.260009765625,330.3666687011719,0.0,0.0,300.5625,0.0,164.02999877929688,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.3280158042907715,6.118500232696533,1.3529568910598755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03187499940395355,0.0,0.019999999552965164,0.0,0.0,0,0,128,0,0
16,0,1688.739990234375,1492.0400390625,384.2866516113281,0.0,0.0,300.5625,0.0,175.42906188964844,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.713620662689209,6.532955646514893,1.4109729528427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03187499940395355,0.0,0.025624999776482582,0.0,0.0,0,0,128,0,0
17,0,1602.5733642578125,1499.5333251953125,307.0400085449219,0.0,0.0,300.5625,0.0,181.76187133789062,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.075290679931641,6.949492454528809,1.445772409439087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03187499940395355,0.0,0.028750000521540642,0.0,0.0,0,0,128,0,0
18,0,1504.36669921875,1556.8466796875,399.3133239746094,0.0,0.0,298.1875,0.0,188.0946807861328,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.410340309143066,7.3819499015808105,1.5044442415237427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.0,0.03187499940395355,0.0,0.0,0,128,0,0,0
19,0,1400.973388671875,1485.306640625,445.0,0.0,0.0,298.1875,0.0,193.1609344482422,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.71666955947876,7.794535160064697,1.5743995904922485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.0,0.03437500074505806,0.0,0.0,0,128,0,0,0
20,0,1347.8133544921875,1452.0400390625,295.086669921875,0.0,0.0,298.1875,0.0,193.1609344482422,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.008232116699219,8.197879791259766,1.6027122735977173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.0,0.03437500074505806,0.0,0.0,0,128,0,0,0
21,0,1405.9932861328125,1455.4599609375,340.26666259765625,0.0,0.0,298.1875,76.75,193.1609344482422,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.315956115722656,8.580854415893555,1.6435749530792236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.0031250000465661287,0.03437500074505806,0.0,0.0,0,128,0,0,0
22,0,1495.67333984375,1468.1466064453125,373.82666015625,0.0,0.0,298.1875,82.6875,193.1609344482422,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.648591041564941,8.965703964233398,1.6937599182128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.007031249813735485,0.03437500074505806,0.0,0.0,0,128,0,0,0
23,0,1479.0533447265625,1384.913330078125,457.8599853515625,0.0,0.0,298.1875,161.8125,193.1609344482422,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.976609230041504,9.30545425415039,1.7672873735427856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.01171875,0.03437500074505806,0.0,0.0,0,128,0,0,0
24,0,1412.9200439453125,1249.1666259765625,476.0666809082031,0.0,0.0,298.1875,167.75,193.1609344482422,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.28625774383545,9.60584831237793,1.8458722829818726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.015625,0.03437500074505806,0.0,0.0,0,0,128,0,0
25,0,1520.5,1275.4599609375,472.2733459472656,0.0,0.0,298.1875,222.875,193.1609344482422,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.625788688659668,9.898232460021973,1.9234035015106201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.02031249925494194,0.03437500074505806,0.0,0.0,0,0,128,0,0
26,0,1659.5733642578125,1149.1466064453125,288.61334228515625,0.0,0.0,298.1875,222.875,202.02687072753906,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.003951072692871,10.15553092956543,1.9474552869796753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030625000596046448,0.02031249925494194,0.038750000298023224,0.0,0.0,0,0,128,0,0
27,0,1634.43994140625,926.0,392.09332275390625,0.0,0.0,295.8125,222.875,203.29344177246094,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.375792503356934,10.35084342956543,1.9998997449874878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029374999925494194,0.02031249925494194,0.039374999701976776,0.0,0.0,0,0,128,0,0
28,0,1726.0067138671875,992.0999755859375,426.2466735839844,0.0,0.0,295.8125,222.875,212.1593780517578,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.77306842803955,10.5645170211792,2.059368371963501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029374999925494194,0.02031249925494194,0.04374999925494194,0.0,0.0,0,0,128,0,0
29,0,1647.1466064453125,969.806640625,379.739990234375,0.0,0.0,295.8125,222.875,212.1593780517578,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.148439407348633,10.771997451782227,2.1059186458587646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029374999925494194,0.02031249925494194,0.04374999925494194,0.0,0.0,0,0,128,0,0
30,0,1687.56005859375,1116.3133544921875,293.0400085449219,0.0,0.0,295.8125,222.875,214.6925048828125,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.535036087036133,11.020174980163574,2.1276817321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029374999925494194,0.02031249925494194,0.04500000178813934,0.0,0.0,0,0,128,0,0
31,0,1599.699951171875,1028.3133544921875,342.73333740234375,0.0,0.0,295.8125,222.875,217.2256317138672,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.897226333618164,11.243907928466797,2.1625449657440186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029374999925494194,0.02031249925494194,0.04625000059604645,0.0,0.0,0,0,128,0,0
