step,dc,dc_current_green_power_w,dc_current_power_w,dc_green_ratio,dc_cumulative_wasted_green_wh,dc_future_short_mean,dc_future_short_trend,dc_future_long_mean,dc_future_long_peak_timing,dc_queue_sizes,dc_utilizations,dc_available_pes,dc_ram_utilizations
0,0,1891.373291015625,0.0,0.0,0.0,0.8352991342544556,0.033164132386446,0.689865231513977,0.27272728085517883,0.0,0.0,480.0,0.75
0,1,1350.3399658203125,0.0,0.0,0.0,0.7128599286079407,-0.04541703686118126,0.6123500466346741,0.1538461595773697,0.0,0.0,384.0,0.75
0,2,595.066650390625,0.0,0.0,0.0,0.7620689272880554,0.08548729866743088,0.5573645234107971,0.0699300691485405,0.0,0.0,296.0,0.4625000059604645
0,3,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,240.0,0.46875
0,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,144.0,0.75
1,0,1832.6199951171875,0.0,0.0,1.0181221961975098,0.8352991342544556,0.033164132386446,0.689865231513977,0.27272728085517883,1.0,0.0,480.0,0.75
1,1,1297.2532958984375,0.0,0.0,0.7206962704658508,0.7128599286079407,-0.04541703686118126,0.6123500466346741,0.1538461595773697,1.0,0.0,384.0,0.75
1,2,380.7733459472656,0.0,0.0,0.21154074370861053,0.7620689272880554,0.08548729866743088,0.5573645234107971,0.0699300691485405,1.0,0.0,296.0,0.4625000059604645
1,3,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,2.0,0.0,240.0,0.46875
1,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,144.0,0.75
2,0,1801.28662109375,26.375,1.0,1.511153221130371,0.8352991342544556,0.033164132386446,0.689865231513977,0.27272728085517883,0.0,0.0012499999720603228,480.0,0.75
2,1,1299.7266845703125,25.1875,1.0,1.0747349262237549,0.7128599286079407,-0.04541703686118126,0.6123500466346741,0.1538461595773697,0.0,0.0007812500116415322,384.0,0.75
2,2,234.83999633789062,27.233125686645508,1.0,0.2692093253135681,0.7620689272880554,0.08548729866743088,0.5573645234107971,0.0699300691485405,0.0,0.0012499999720603228,296.0,0.4625000059604645
2,3,0.0,53.19968795776367,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0023437500931322575,240.0,0.46875
2,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,144.0,0.75
3,0,1699.5533447265625,26.375,1.0,1.9759249687194824,0.8352991342544556,0.033164132386446,0.689865231513977,0.27272728085517883,0.0,0.0012499999720603228,480.0,0.75
3,1,1334.56005859375,25.1875,1.0,1.438449501991272,0.7128599286079407,-0.04541703686118126,0.6123500466346741,0.1538461595773697,0.0,0.0007812500116415322,384.0,0.75
