algorithm,episodes,avg_episode_length,avg_routed_rate,avg_finished_rate,avg_green_ratio,avg_waste_ratio,avg_green_used_wh,avg_brown_used_wh,avg_total_energy_wh,avg_carbon_kg,avg_carbon_intensity,avg_carbon_per_cloudlet_g
Round-Robin,1,2000.0,100.0,50.0,39.38242997424974,61.29122705673935,1275.7900255998286,1963.7003421453965,3239.490367745225,1.256972368813527,0.38801546728734826,0.5027889475254108
PSO,1,2000.0,100.0,49.6,39.42944530107751,61.2333053510761,1277.6990485094218,1962.770196627297,3240.469245136719,1.2560488763856454,0.3876132687482585,0.5064713211232441
GA,1,2000.0,100.0,41.980000000000004,39.40616742549764,61.40396259562376,1272.0744111511297,1956.0355377703117,3228.109948921441,1.2516881534447764,0.38774644397195446,0.5963259425654008
PPO_PS,1,2000.0,100.0,18.099999999999998,39.566942258916214,61.526539459907056,1268.0344396167382,1936.748056131952,3204.78249574869,1.2394392954495084,0.386746775200404,1.3695461828171362
GTrXL,1,2000.0,100.0,18.060000000000002,39.585875023530576,61.6061247240845,1265.4114144340226,1931.2121632482658,3196.6235776822887,1.2353766309418681,0.38646296660227275,1.368080432936731
