step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,avail_pes_dc0,avail_pes_dc1,avail_pes_dc2,avail_pes_dc3,avail_pes_dc4,pred_pes_dc0,pred_pes_dc1,pred_pes_dc2,pred_pes_dc3,pred_pes_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
11,125,31.266666412353516,0.0,158.03334045410156,0.0,0.0,129.5,0.0,170.36280822753906,0.0,0.0,0.20074646174907684,0.0,0.7745510339736938,0.0,0.0,0.027988888323307037,0.0,0.08163674920797348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.023125000298023224,0.0,0.0,480.0,384.0,259.0,240.0,144.0,10.0,0.0,41.0,0.0,0.0,0,0,3,0,0
12,123,8.779999732971191,0.0,260.2533264160156,0.0,0.0,179.875,0.0,170.36280822753906,0.0,0.0,0.1822165697813034,0.0,0.8012201189994812,0.0,0.0,0.027988888323307037,0.0,0.10660633444786072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.023125000298023224,0.0,0.0,480.0,384.0,259.0,240.0,144.0,10.0,0.0,56.0,0.0,0.0,0,0,5,0,0
13,121,25.81999969482422,0.0,224.0399932861328,0.0,0.0,179.875,0.0,175.42906188964844,0.0,0.0,0.17801278829574585,0.0,0.8228044509887695,0.0,0.0,0.027988888323307037,0.0,0.12010937184095383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.025624999776482582,0.0,0.0,480.0,384.0,259.0,240.0,144.0,10.0,0.0,73.0,0.0,0.0,0,0,7,0,0
14,124,42.86000061035156,0.0,187.8333282470703,0.0,0.0,179.875,0.0,194.42750549316406,0.0,0.0,0.18392132222652435,0.0,0.8381950855255127,0.0,0.0,0.027988888323307037,0.0,0.12010937184095383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.03500000014901161,0.0,0.0,470.0,384.0,259.0,240.0,144.0,10.0,0.0,82.0,0.0,0.0,0,0,4,0,0
15,126,339.4333190917969,0.0,205.7133331298828,0.0,0.0,179.875,0.0,205.82656860351562,0.0,0.0,0.25678911805152893,0.0,0.8546597957611084,0.0,0.0,0.07231064885854721,0.0,0.12010937184095383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.04062499850988388,0.0,0.0,470.0,384.0,259.0,240.0,144.0,10.0,0.0,87.0,0.0,0.0,0,0,2,0,0
16,125,636.0133056640625,0.0,223.5933380126953,0.0,0.0,179.875,0.0,217.2256317138672,0.0,0.0,0.317710816860199,0.0,0.8687979578971863,0.0,0.0,0.19901573657989502,0.0,0.12187818437814713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.04625000059604645,0.0,0.0,470.0,384.0,259.0,240.0,144.0,10.0,0.0,92.0,0.0,0.0,0,0,3,0,0
17,127,636.0133056640625,0.0,261.1866760253906,0.0,0.0,179.875,0.0,223.55844116210938,0.0,0.0,0.36940157413482666,0.0,0.8807375431060791,0.0,0.0,0.3257208466529846,0.0,0.13233046233654022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.04937500134110451,0.0,0.0,470.0,384.0,217.0,240.0,144.0,10.0,0.0,94.0,0.0,0.0,0,0,1,0,0
18,128,0.0,0.0,298.7866516113281,0.0,0.0,179.875,0.0,227.35812377929688,0.0,0.0,0.34338635206222534,0.0,0.8908401131629944,0.0,0.0,0.3257208466529846,0.0,0.15217173099517822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.051249999552965164,0.0,0.0,470.0,384.0,212.0,240.0,144.0,10.0,0.0,94.0,0.0,0.0,0,0,0,0,0
19,125,0.0,0.0,375.4800109863281,0.0,0.0,179.875,0.0,227.35812377929688,0.0,0.0,0.32079431414604187,0.0,0.8993647694587708,0.0,0.0,0.3257208466529846,0.0,0.19331669807434082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.051249999552965164,0.0,0.0,470.0,384.0,214.0,240.0,144.0,10.0,0.0,98.0,0.0,0.0,0,0,3,0,0
20,126,0.0,0.0,452.17999267578125,0.0,0.0,179.875,0.0,227.35812377929688,0.0,0.0,0.3009915351867676,0.0,0.9066544771194458,0.0,0.0,0.3257208466529846,0.0,0.25576722621917725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.051249999552965164,0.0,0.0,470.0,384.0,214.0,240.0,144.0,10.0,0.0,103.0,0.0,0.0,0,0,2,0,0
21,125,0.0,2.259999990463257,346.5733337402344,0.0,0.0,179.875,0.0,232.42437744140625,0.0,0.0,0.28349146246910095,0.0,0.913090169429779,0.0,0.0,0.3257208466529846,0.0006277777720242739,0.28747525811195374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.05375000089406967,0.0,0.0,470.0,384.0,214.0,240.0,144.0,10.0,0.0,109.0,0.0,0.0,0,0,3,0,0
22,126,0.0,4.059999942779541,240.97332763671875,0.0,0.0,179.875,0.0,238.75718688964844,0.0,0.0,0.2679145336151123,0.0,0.918838381767273,0.0,0.0,0.3257208466529846,0.0017555555095896125,0.28809085488319397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.05687500163912773,0.0,0.0,470.0,384.0,205.0,240.0,144.0,10.0,0.0,114.0,0.0,0.0,0,0,2,0,0
23,125,0.0,335.4466552734375,250.01333618164062,0.0,0.0,179.875,0.0,246.3565673828125,0.0,0.0,0.2539602220058441,0.0,0.9240233898162842,0.0,0.0,0.3257208466529846,0.09493518620729446,0.2891066372394562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.06062500178813934,0.0,0.0,470.0,384.0,199.0,240.0,144.0,10.0,6.0,114.0,0.0,0.0,0,3,0,0,0
24,125,0.0,666.82666015625,259.05999755859375,0.0,0.0,179.875,0.0,246.3565673828125,0.0,0.0,0.24138760566711426,0.0,0.9285856485366821,0.0,0.0,0.3257208466529846,0.28016480803489685,0.29263535141944885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.06062500178813934,0.0,0.0,470.0,384.0,199.0,240.0,144.0,10.0,13.0,114.0,0.0,0.0,0,3,0,0,0
25,127,0.0,548.5133056640625,160.65333557128906,0.0,0.0,179.875,79.125,246.3565673828125,0.0,0.0,0.23000109195709229,1.0,0.9129245281219482,0.0,0.0,0.3257208466529846,0.41055047512054443,0.29263535141944885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.004687500186264515,0.06062500178813934,0.0,0.0,470.0,384.0,199.0,240.0,144.0,8.0,14.0,114.0,0.0,0.0,0,1,0,0,0
26,124,0.0,430.1933288574219,62.246665954589844,0.0,0.0,179.875,87.4375,246.3565673828125,0.0,0.0,0.21964041888713837,1.0,0.8775280714035034,0.0,0.0,0.3257208466529846,0.5057604312896729,0.29263535141944885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.01015624962747097,0.06062500178813934,0.0,0.0,470.0,384.0,199.0,240.0,144.0,8.0,21.0,114.0,0.0,0.0,0,4,0,0,0
27,127,0.0,533.2999877929688,34.08000183105469,0.0,0.0,153.5,112.625,246.3565673828125,0.0,0.0,0.21150976419448853,1.0,0.8399161696434021,0.0,0.0,0.3257208466529846,0.6226145625114441,0.29263535141944885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.010937499813735485,0.06062500178813934,0.0,0.0,470.0,384.0,199.0,240.0,144.0,8.0,24.0,114.0,0.0,0.0,0,1,0,0,0
28,127,0.0,636.4066772460938,5.9066667556762695,0.0,0.0,153.5,192.9375,246.3565673828125,0.0,0.0,0.20395956933498383,1.0,0.8004093170166016,0.0,0.0,0.3257208466529846,0.7458004355430603,0.29263535141944885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.01640624925494194,0.06062500178813934,0.0,0.0,470.0,384.0,199.0,240.0,144.0,8.0,28.0,114.0,0.0,0.0,0,1,0,0,0
29,126,0.0,418.5733337402344,2.8399999141693115,0.0,0.0,153.5,196.5,246.3565673828125,0.0,0.0,0.19692984223365784,1.0,0.7639766931533813,0.0,0.0,0.3257208466529846,0.8074874877929688,0.29263535141944885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.01875000074505806,0.06062500178813934,0.0,0.0,470.0,384.0,199.0,240.0,144.0,8.0,31.0,112.0,0.0,0.0,0,2,0,0,0
