combo,episode,green_waste_wh,green_used_wh,brown_used_wh,total_energy_wh,green_ratio,total_carbon_kg,carbon_intensity,total_cloudlets,remaining_cloudlets,routed_cloudlets,waste_ratio,completed_cloudlets,completion_rate,completion_time_dc_0,finished_dc_0,green_ratio_dc_0,completion_time_dc_1,finished_dc_1,green_ratio_dc_1,completion_time_dc_2,finished_dc_2,green_ratio_dc_2,completion_time_dc_3,finished_dc_3,green_ratio_dc_3,completion_time_dc_4,finished_dc_4,green_ratio_dc_4,completion_time_dc_5,finished_dc_5,green_ratio_dc_5,completion_time_dc_6,finished_dc_6,green_ratio_dc_6,completion_time_dc_7,finished_dc_7,green_ratio_dc_7,completion_time_dc_8,finished_dc_8,green_ratio_dc_8,completion_time_dc_9,finished_dc_9,green_ratio_dc_9,mean_completion_time,episode_length
random_random,1,986.6042869260906,353.043517264352,471.0982794978017,824.1417967621537,0.42837715384824715,0.24023136831080405,0.2914927616274442,4959,0,0,0.7364654231059646,4959,1.0,692.0554303030299,165,0.4859511718553696,704.6803986486485,148,0.5138204404419614,690.9956470588232,170,0.5019864392035452,725.9027878787878,132,0.022656211553393996,646.12073476834,74,0.5624028634717392,677.1735454545455,44,0.08447349584165029,690.8224174757283,103,0.5997231038440402,621.4519047619049,21,0.552123441155206,677.3116190476192,21,0.5649178789903875,697.1205555555556,18,0.5936804732792583,692.3613352375636,1000
random_random,2,986.5749848381566,353.0728193522854,471.08839754596625,824.1612168982517,0.4284026136064525,0.24023545388902284,0.29149085028916316,4959,0,0,0.7364435501272294,4959,1.0,712.2837758620688,174,0.48612203273370364,713.4343899371069,159,0.5132211310560316,700.4817569444446,144,0.5022068421432302,713.9996355932204,118,0.022668694710671084,674.5023287671233,73,0.5624901243868199,686.9259615384616,52,0.08447596727815483,705.8140483870974,124,0.5994428471998289,558.2053913043479,23,0.5518571618698782,699.5106666666666,21,0.565093793228533,636.5435294117647,17,0.5938613227435502,699.8057734806631,1000
random_random,3,986.7594149618051,352.8883892286377,470.8728606988182,823.761249927456,0.4283867313007435,0.24008939757101305,0.29145507583921476,4959,0,0,0.7365812207321981,4959,1.0,704.4141729729728,185,0.4860442930290239,695.9295071428573,140,0.5137514202491736,694.3315294117646,153,0.501983569417981,711.3046747707381,122,0.02266306066436904,656.71856,75,0.5622230397294038,657.9480952380953,42,0.0844855454606828,719.6897155172411,116,0.599745603897873,680.30232,25,0.5522127547822965,680.7565333333333,15,0.5648902726622101,735.5411764705884,17,0.5937237515313338,697.5881711483481,1000
random_random,4,986.7555741587788,352.8922300316635,470.9293429339868,823.8215729656503,0.4283600255347738,0.24011303506040219,0.29146242698649727,4959,0,0,0.7365783537077355,4959,1.0,697.9976900584796,171,0.48611533343671814,707.5938176100628,159,0.513704640817998,689.6639673202617,153,0.5020340736212437,701.9740740740739,135,0.02266054035611944,666.4475108958111,70,0.562468284707371,656.4052962962965,54,0.08441144842465746,704.509768,125,0.59955443245827,703.987,13,0.5523553793085766,713.0156470588236,17,0.5646916245746277,618.5297500000001,24,0.593356353877678,693.1909367673255,1000
random_random,5,986.6714403605404,352.9763638299024,471.0562362795352,824.0326001094377,0.42835242657028927,0.24019187875711537,0.29148346646141926,4959,0,0,0.7365155507844778,4959,1.0,728.8542331288345,163,0.4862394648412087,707.2012574850302,167,0.5132868621990406,723.659213982984,152,0.5020381484198633,679.4564166666667,144,0.022657667532586835,660.2898666666667,75,0.5623161532010483,645.8171212121212,66,0.08450795453094916,682.6198583333332,120,0.5995198039917106,720.9348421052633,19,0.5522416683032212,697.4187272727272,22,0.5647685472462219,609.1235,24,0.5937250954044817,695.8652999216531,1000
round_robin_round_robin,1,986.9171882235239,352.7306159669187,470.57837989710697,823.3089958640257,0.42843041645226265,0.239953391263557,0.2914499810751329,4959,0,0,0.73669899292667,4959,1.0,724.3634734042549,188,0.48591900591046616,736.0430445859869,157,0.5136029908589624,702.7952091503267,153,0.5021959432340516,699.7605649350648,154,0.022677736399928337,700.9311025422933,80,0.5622667103449924,666.7171333333334,60,0.08465496375394488,703.9519291338581,127,0.5996750027220912,610.18972,25,0.5525527653452027,644.0195454545454,22,0.5646839089048111,602.9921132424813,16,0.5938482941001101,704.2569684473148,1000
round_robin_round_robin,2,986.9171882235239,352.7306159669187,470.57837989710697,823.3089958640257,0.42843041645226265,0.239953391263557,0.2914499810751329,4959,0,0,0.73669899292667,4959,1.0,724.3634734042549,188,0.48591900591046616,736.0430445859869,157,0.5136029908589624,702.7952091503267,153,0.5021959432340516,699.7605649350648,154,0.022677736399928337,700.9311025422933,80,0.5622667103449924,666.7171333333334,60,0.08465496375394488,703.9519291338581,127,0.5996750027220912,610.18972,25,0.5525527653452027,644.0195454545454,22,0.5646839089048111,602.9921132424813,16,0.5938482941001101,704.2569684473148,1000
round_robin_round_robin,3,986.9171882235239,352.7306159669187,470.57837989710697,823.3089958640257,0.42843041645226265,0.239953391263557,0.2914499810751329,4959,0,0,0.73669899292667,4959,1.0,724.3634734042549,188,0.48591900591046616,736.0430445859869,157,0.5136029908589624,702.7952091503267,153,0.5021959432340516,699.7605649350648,154,0.022677736399928337,700.9311025422933,80,0.5622667103449924,666.7171333333334,60,0.08465496375394488,703.9519291338581,127,0.5996750027220912,610.18972,25,0.5525527653452027,644.0195454545454,22,0.5646839089048111,602.9921132424813,16,0.5938482941001101,704.2569684473148,1000
round_robin_round_robin,4,986.9171882235239,352.7306159669187,470.57837989710697,823.3089958640257,0.42843041645226265,0.239953391263557,0.2914499810751329,4959,0,0,0.73669899292667,4959,1.0,724.3634734042549,188,0.48591900591046616,736.0430445859869,157,0.5136029908589624,702.7952091503267,153,0.5021959432340516,699.7605649350648,154,0.022677736399928337,700.9311025422933,80,0.5622667103449924,666.7171333333334,60,0.08465496375394488,703.9519291338581,127,0.5996750027220912,610.18972,25,0.5525527653452027,644.0195454545454,22,0.5646839089048111,602.9921132424813,16,0.5938482941001101,704.2569684473148,1000
round_robin_round_robin,5,986.9171882235239,352.7306159669187,470.57837989710697,823.3089958640257,0.42843041645226265,0.239953391263557,0.2914499810751329,4959,0,0,0.73669899292667,4959,1.0,724.3634734042549,188,0.48591900591046616,736.0430445859869,157,0.5136029908589624,702.7952091503267,153,0.5021959432340516,699.7605649350648,154,0.022677736399928337,700.9311025422933,80,0.5622667103449924,666.7171333333334,60,0.08465496375394488,703.9519291338581,127,0.5996750027220912,610.18972,25,0.5525527653452027,644.0195454545454,22,0.5646839089048111,602.9921132424813,16,0.5938482941001101,704.2569684473148,1000
min_queue_first_fit,1,996.1295457293254,343.5182584611174,456.84248140960585,800.3607398707233,0.4292042842038998,0.23255872523934462,0.29056738249918185,4959,0,0,0.7435756940095851,4959,1.0,700.8053333333334,3,0.4866545580795145,760.42225,8,0.5151345469430582,612.0546666666668,3,0.5032780583471472,768.9282857142858,7,0.023146094374913995,791.542,6,0.5632233766365949,725.0007368421053,19,0.0883413410432546,899.8989999999999,4,0.6005040179437366,669.54325,8,0.5559881895443841,613.8173333333334,3,0.5678081479825564,683.9010000000001,4,0.5956767203516203,730.1803076923076,1000
min_queue_first_fit,2,996.1295457293254,343.5182584611174,456.84248140960585,800.3607398707233,0.4292042842038998,0.23255872523934462,0.29056738249918185,4959,0,0,0.7435756940095851,4959,1.0,700.8053333333334,3,0.4866545580795145,760.42225,8,0.5151345469430582,612.0546666666668,3,0.5032780583471472,768.9282857142858,7,0.023146094374913995,791.542,6,0.5632233766365949,725.0007368421053,19,0.0883413410432546,899.8989999999999,4,0.6005040179437366,669.54325,8,0.5559881895443841,613.8173333333334,3,0.5678081479825564,683.9010000000001,4,0.5956767203516203,730.1803076923076,1000
