episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,2,0,32,1920000.0,48,41,112,112,42,green,1.0,42.0,1.0,0.0,False
1,3,0,32,1920000.0,48,48,119,119,49,green,1.0,49.0,1.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,63,green,1.0,63.0,1.0,0.0,False
1,5,0,32,1920000.0,48,92,163,163,93,green,1.0,93.0,1.0,0.0,False
1,6,1,32,1920000.0,48,100,171,171,101,green,1.0,101.0,1.0,0.0,False
1,7,0,32,1920000.0,48,123,194,194,124,green,1.0,124.0,1.0,0.0,False
1,8,1,32,1920000.0,48,134,205,205,135,green,1.0,135.0,1.0,0.0,False
1,9,2,32,1920000.0,48,150,221,221,153,green,1.0,153.0,3.0,0.0,False
1,10,1,32,1920000.0,48,159,230,230,162,green,1.0,162.0,3.0,0.0,False
1,11,0,32,1920000.0,48,174,245,245,175,green,1.0,175.0,1.0,0.0,False
1,12,0,32,1920000.0,48,201,272,272,203,green,1.0,203.0,2.0,0.0,False
1,13,1,32,1920000.0,48,221,292,292,222,green,1.0,222.0,1.0,0.0,False
1,14,0,32,1920000.0,48,227,298,298,229,green,1.0,229.0,2.0,0.0,False
1,15,1,32,1920000.0,48,241,312,312,242,green,1.0,242.0,1.0,0.0,False
1,17,1,32,1920000.0,48,273,344,344,279,green,1.0,279.0,6.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,297,green,1.0,297.0,2.0,0.0,False
1,19,2,32,1920000.0,48,307,378,378,373,green,1.0,373.0,66.0,0.0,False
1,20,1,32,1920000.0,48,323,394,394,362,green,1.0,362.0,39.0,0.0,False
1,21,1,32,1920000.0,48,335,406,406,405,margin,1.0,405.0,70.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,379,green,1.0,379.0,23.0,0.0,False
1,23,1,32,1920000.0,48,373,444,444,412,green,1.0,412.0,39.0,0.0,False
1,24,0,32,1920000.0,48,397,468,468,427,green,1.0,427.0,30.0,0.0,False
1,25,1,32,1920000.0,48,402,473,473,413,green,1.0,413.0,11.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,429,green,1.0,429.0,8.0,0.0,False
1,27,1,32,1920000.0,48,445,516,516,461,green,1.0,461.0,16.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,477,green,1.0,477.0,20.0,0.0,False
1,29,2,32,1920000.0,48,473,544,544,485,green,1.0,485.0,12.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,511,green,1.0,511.0,25.0,0.0,False
1,31,1,32,1920000.0,48,504,575,575,509,green,1.0,509.0,5.0,0.0,False
1,32,2,32,1920000.0,48,520,591,591,590,margin,1.0,590.0,70.0,0.0,False
1,33,1,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
1,34,0,32,1920000.0,48,549,620,620,551,green,1.0,551.0,2.0,0.0,False
