step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,avail_pes_dc0,avail_pes_dc1,avail_pes_dc2,avail_pes_dc3,avail_pes_dc4,pred_pes_dc0,pred_pes_dc1,pred_pes_dc2,pred_pes_dc3,pred_pes_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
14,124,0.0,0.0,0.0,0.0,0.0,314.8125,0.0,0.0,0.0,0.0,0.03891681879758835,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039374999701976776,0.0,0.0,0.0,0.0,417.0,384.0,296.0,240.0,144.0,88.0,0.0,0.0,0.0,0.0,4,0,0,0,0
15,126,0.0,0.0,0.0,0.0,0.0,323.125,0.0,0.0,0.0,0.0,0.03556739538908005,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04374999925494194,0.0,0.0,0.0,0.0,417.0,384.0,296.0,240.0,144.0,93.0,0.0,0.0,0.0,0.0,2,0,0,0,0
16,125,0.0,0.0,0.0,0.0,0.0,330.25,0.0,0.0,0.0,0.0,0.032691698521375656,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04749999940395355,0.0,0.0,0.0,0.0,417.0,384.0,296.0,240.0,144.0,96.0,0.0,0.0,0.0,0.0,3,0,0,0,0
17,127,0.0,0.0,0.0,0.0,0.0,336.1875,0.0,0.0,0.0,0.0,0.030205609276890755,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05062500014901161,0.0,0.0,0.0,0.0,399.0,384.0,296.0,240.0,144.0,100.0,0.0,0.0,0.0,0.0,1,0,0,0,0
18,128,0.0,0.0,0.0,0.0,0.0,339.75,0.0,0.0,0.0,0.0,0.028049906715750694,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05249999836087227,0.0,0.0,0.0,0.0,394.0,384.0,296.0,240.0,144.0,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0
19,125,0.0,0.0,0.0,0.0,0.0,339.75,0.0,0.0,0.0,0.0,0.026181401684880257,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05249999836087227,0.0,0.0,0.0,0.0,396.0,384.0,296.0,240.0,144.0,104.0,0.0,0.0,0.0,0.0,3,0,0,0,0
20,126,0.0,0.0,0.0,0.0,0.0,339.75,0.0,0.0,0.0,0.0,0.024546286091208458,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05249999836087227,0.0,0.0,0.0,0.0,396.0,384.0,296.0,240.0,144.0,107.0,0.0,0.0,0.0,0.0,2,0,0,0,0
21,125,0.0,0.0,0.0,0.0,0.0,344.5,0.0,0.0,0.0,0.0,0.023084430024027824,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054999999701976776,0.0,0.0,0.0,0.0,396.0,384.0,296.0,240.0,144.0,109.0,0.0,0.0,0.0,0.0,3,0,0,0,0
22,126,0.0,0.0,0.0,0.0,0.0,350.4375,0.0,0.0,0.0,0.0,0.021765824407339096,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058125000447034836,0.0,0.0,0.0,0.0,387.0,384.0,296.0,240.0,144.0,110.0,0.0,0.0,0.0,0.0,2,0,0,0,0
23,125,0.0,0.0,0.0,0.0,0.0,357.5625,0.0,0.0,0.0,0.0,0.020567122846841812,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06187500059604645,0.0,0.0,0.0,0.0,381.0,384.0,296.0,240.0,144.0,116.0,0.0,0.0,0.0,0.0,3,0,0,0,0
24,125,0.0,0.0,0.0,0.0,0.0,363.5,0.0,0.0,0.0,0.0,0.01947668008506298,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06499999761581421,0.0,0.0,0.0,0.0,381.0,384.0,296.0,240.0,144.0,122.0,0.0,0.0,0.0,0.0,3,0,0,0,0
25,127,0.0,0.0,0.0,0.0,0.0,370.625,0.0,0.0,0.0,0.0,0.018477806821465492,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06875000149011612,0.0,0.0,0.0,0.0,370.0,384.0,296.0,240.0,144.0,123.0,0.0,0.0,0.0,0.0,1,0,0,0,0
26,124,0.0,0.0,0.0,0.0,0.0,375.375,0.0,0.0,0.0,0.0,0.0175654087215662,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07124999910593033,0.0,0.0,0.0,0.0,366.0,384.0,296.0,240.0,144.0,130.0,0.0,0.0,0.0,0.0,4,0,0,0,0
27,127,0.0,0.0,0.0,0.0,0.0,374.1875,0.0,0.0,0.0,0.0,0.016741367056965828,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07062499970197678,0.0,0.0,0.0,0.0,365.0,384.0,296.0,240.0,144.0,133.0,0.0,0.0,0.0,0.0,1,0,0,0,0
