episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,5,2,32,1920000.0,48,92,163,163,101,green,1.0,101.0,9.0,0.0,False
1,6,2,32,1920000.0,48,100,171,171,105,green,1.0,105.0,5.0,0.0,False
1,14,0,32,1920000.0,48,227,298,298,270,green,1.0,270.0,43.0,0.0,False
1,15,0,32,1920000.0,48,241,312,312,305,green,1.0,305.0,64.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,388,green,1.0,388.0,32.0,0.0,False
