algorithm,episodes,avg_episode_length,avg_routed_rate,avg_finished_rate,avg_green_ratio,avg_waste_ratio,avg_green_used_wh,avg_brown_used_wh,avg_total_energy_wh,avg_carbon_kg,avg_carbon_intensity,avg_carbon_per_cloudlet_g,avg_global_decision_us_mean,avg_global_decision_us_p50,avg_global_decision_us_p95,avg_global_decision_us_p99,sum_global_decision_count,avg_local_decision_us_mean,avg_local_decision_us_p50,avg_local_decision_us_p95,avg_local_decision_us_p99,sum_local_decision_count
Round-Robin,3,2108.0,100.0,100.0,64.76485532729815,95.98382670704984,1398.9345079391703,761.0865418562183,2160.0210497953885,0.396719597842394,0.1836646906195539,0.026756565579172727,2.295922675521822,2.3073333333333332,2.717166666666666,2.921533333333332,6324,3.8752237191650853,0.6616666666666667,10.385666666666665,11.173993333333323,63240
PPO_Simple,3,1000.0,100.0,99.83999999999999,53.99403086542548,96.14475157653244,516.4675085106979,440.0595375954533,956.5270461061513,0.2296347043483262,0.24007131349095415,0.046000541736443544,4992.110300333333,4350.644499999999,8629.832333333332,11091.475249999998,3000,2013.4531645,1711.344,3120.97465,5484.592956666667,30000
PPO_MLP,3,4000.0,100.0,82.74094557226682,68.49853671132115,94.58374641199464,2636.351023786265,1212.4188191329342,3848.7698429192,0.6243009554274892,0.1622079212078766,0.05088856826112562,5437.917960416667,4994.027333333333,8413.202483333333,9979.426743333332,12000,2124.4879702583335,1914.6235,2968.1045999999988,5172.325013333336,120000
