step,clock,dc,vm,host,cloudlet,status,exec_start,finish,finished_mi,remaining_mi,last_proc_time,host_util,host_power_w,dc_power_w,dc_green_w,green_row,green_rows_total,tz_rows,warmup_rows,episode_offset_rows
51,52.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,565.8967,16529,52559,0,0,16477
51,52.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,565.8967,16529,52559,0,0,16477
52,53.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,645.0533,16530,52559,0,0,16477
52,53.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,645.0533,16530,52559,0,0,16477
53,54.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,673.2700,16531,52559,0,0,16477
53,54.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,673.2700,16531,52559,0,0,16477
54,55.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,780.3067,16532,52559,0,0,16477
54,55.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,780.3067,16532,52559,0,0,16477
55,56.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,838.5550,16533,52559,0,0,16477
55,56.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,838.5550,16533,52559,0,0,16477
56,57.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,793.9100,16534,52559,0,0,16477
56,57.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,793.9100,16534,52559,0,0,16477
57,58.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,714.5283,16535,52559,0,0,16477
57,58.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,714.5283,16535,52559,0,0,16477
58,59.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,627.9167,16536,52559,0,0,16477
58,59.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,627.9167,16536,52559,0,0,16477
59,60.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,510.5833,16537,52559,0,0,16477
59,60.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,510.5833,16537,52559,0,0,16477
60,61.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,570.7400,16538,52559,0,0,16477
60,61.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,570.7400,16538,52559,0,0,16477
61,62.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,629.8283,16539,52559,0,0,16477
61,62.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,629.8283,16539,52559,0,0,16477
62,63.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,694.5133,16540,52559,0,0,16477
62,63.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,694.5133,16540,52559,0,0,16477
63,64.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,800.6733,16541,52559,0,0,16477
63,64.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,800.6733,16541,52559,0,0,16477
64,65.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,684.1167,16542,52559,0,0,16477
64,65.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,684.1167,16542,52559,0,0,16477
65,66.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,589.4167,16543,52559,0,0,16477
65,66.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,589.4167,16543,52559,0,0,16477
66,67.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,462.1433,16544,52559,0,0,16477
66,67.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,462.1433,16544,52559,0,0,16477
67,68.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,427.3733,16545,52559,0,0,16477
67,68.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,427.3733,16545,52559,0,0,16477
