algorithm,episodes,avg_episode_length,avg_routed_rate,avg_finished_rate,avg_green_ratio,avg_waste_ratio,avg_green_used_wh,avg_brown_used_wh,avg_total_energy_wh,avg_carbon_kg,avg_carbon_intensity,avg_carbon_per_cloudlet_g,avg_global_decision_us_mean,avg_global_decision_us_p50,avg_global_decision_us_p95,avg_global_decision_us_p99,sum_global_decision_count,avg_local_decision_us_mean,avg_local_decision_us_p50,avg_local_decision_us_p95,avg_local_decision_us_p99,sum_local_decision_count
PSO,3,2087.3333333333335,100.0,100.0,65.00150154632976,95.89282099770794,1424.928380997075,767.156909167028,2192.085290164103,0.39977219148851556,0.18238041165587002,0.026962446313382044,14265.367112475747,14256.077833333335,14409.441149999999,14614.587763333335,6262,498.022241440287,763.8246666666665,814.2984999999999,824.3633633333333,62620
GA,3,2579.3333333333335,100.0,100.0,67.5634186783976,95.38382205935223,1714.875513549745,819.7345216385517,2534.6100351882965,0.42367353709652994,0.1676833297448352,0.028574461259629726,20497.07159353488,20487.7095,20678.02188333333,20876.90381666667,7738,687.9507708653053,876.1631666666667,1392.6313333333335,1414.1670700000002,77380
